#{"t_start": 1645362909.8629582, "env_id": null}
r,l,t
8.083952,53,637.06927
1.389471,39,637.852405
1.443419,40,638.639318
1.128889,37,639.399282
1.295879,36,640.151588
1.860313,41,640.976672
2.81055,41,641.815136
4.321521,43,642.597813
2.06019,40,643.341805
0.284721,28,644.047504
1.038453,35,644.791257
2.977476,36,645.533112
0.397054,32,646.267078
1.15851,37,647.002683
0.813638,33,647.724648
1.883388,42,648.448156
0.364176,31,649.189925
31.18669,68,650.093555
30.48238,65,651.052439
5.186079,51,651.837178
5.350013,52,652.680171
1.209275,40,653.516064
2.068488,40,654.320883
3.719911,48,655.195866
1.277302,39,656.031882
15.953784,56,656.928267
10.228081,53,657.841355
11.453437,56,658.75811
9.093308,58,659.683328
3.577382,47,660.511004
5.107606,48,661.285648
0.96733,38,662.019392
4.719,54,662.83227
17.089539,61,663.78123
1.787694,47,664.545813
10.259349,56,665.493267
0.69926,34,666.204408
8.266328,56,667.019507
6.89758,48,667.875213
1.185907,37,668.683318
1.467585,40,669.516894
26.029869,61,670.476668
0.269117,32,671.272455
10.754805,61,672.229796
1.548503,40,673.083848
0.069201,26,673.838889
27.555615,69,674.825937
11.487136,59,675.765592
0.164133,29,676.560752
60.894811,78,677.596953
8.366936,52,678.362612
3.195758,48,679.144914
2.883525,38,679.991134
1.228581,38,680.798312
2.30999,38,681.593435
30.387829,68,682.561023
3.735467,50,683.319187
1.37029,41,684.147446
4.285931,42,684.963464
1.104625,33,685.705927
4.627148,45,686.490757
0.106444,26,687.194351
0.343288,30,687.887724
1.647839,38,688.62399
0.661608,33,689.325144
0.549524,33,690.031105
2.349821,40,690.752556
0.485284,31,691.486738
1.031613,36,692.230825
0.160446,25,692.934755
4.013083,45,693.732349
4.423939,50,694.591072
0.153327,29,695.247867
2.779334,46,695.990277
0.661719,34,696.687811
0.995748,39,697.527378
2.498432,45,698.363961
1.451166,38,699.179851
1.543064,41,699.944515
0.858025,37,700.727167
1.633729,40,701.471367
1.758117,37,702.235759
7.622984,50,703.069599
7.633407,48,703.936822
3.768511,46,704.716998
5.750763,50,705.61445
2.215181,43,706.470615
0.10513,24,707.164408
5.006947,48,708.030185
0.923603,35,708.784672
26.309203,73,709.796808
11.530097,52,710.701099
6.664478,50,711.577959
4.107561,45,712.452074
1.373058,39,713.288486
5.004747,48,714.085465
30.211045,70,714.940678
8.951428,54,715.739578
0.79941,32,716.410494
1.101722,37,717.093261
0.195056,28,717.741154
0.270956,28,718.385102
0.185941,29,719.02729
0.250365,28,719.677727
15.360382,60,720.527072
0.175975,28,721.172368
4.213804,48,721.924349
0.261521,29,722.5687
15.309162,57,723.383319
14.76117,54,724.299781
13.888551,58,725.216197
2.159505,42,726.051939
1.697129,40,726.836743
3.147149,43,727.671847
3.239244,47,728.546139
6.746449,50,729.414066
0.521944,34,730.15569
1.410269,37,730.899576
0.78362,34,731.63349
0.63468,35,732.359594
2.13921,39,733.134044
1.709802,39,733.878334
0.784935,36,734.642606
7.755973,56,735.547499
30.322155,67,736.568088
7.57933,53,737.472686
1.969189,44,738.339067
5.072546,49,739.256501
141.295797,88,740.255605
3.119561,45,741.131858
5.168439,48,742.046788
5.528484,49,742.91486
12.921162,54,743.77077
2.71847,44,744.635402
17.976772,70,745.633327
3.394464,49,746.501714
9.570641,48,747.347349
2.056708,44,748.213764
1.822834,41,749.078088
3.224163,46,749.903276
21.236371,62,750.831425
7.764636,50,751.708145
0.212552,30,752.503183
2.210101,41,753.339378
6.016454,47,754.185575
0.734339,34,754.930049
1.074316,38,755.693364
1.98933,42,756.52952
0.525762,31,757.294394
0.101534,25,757.977796
1.660988,37,758.739788
2.14768,39,759.47399
3.595046,40,760.238512
0.2663,27,760.944285
3.323175,41,761.708062
1.075909,39,762.459991
0.056198,21,763.135039
1.523007,40,763.889278
2.258978,41,764.682025
0.304702,29,765.397927
0.746143,33,766.078723
0.48696,30,766.794348
1.398259,40,767.568861
0.957177,36,768.292834
0.648272,37,769.037445
0.363934,29,769.73041
0.215404,28,770.391118
0.422604,33,771.094699
1.274941,35,771.820522
0.278691,26,772.481225
0.060853,23,773.115856
0.192594,29,773.766534
0.414557,31,774.45176
0.726792,37,775.214417
1.906551,41,775.964869
0.434242,29,776.669099
0.530506,32,777.392476
1.504134,37,778.149181
0.3033,28,778.798404
0.305336,28,779.469437
0.674173,32,780.142277
0.333253,31,780.827714
0.842662,34,781.529282
0.270064,27,782.202217
0.766008,33,782.877354
0.731843,33,783.568487
0.641442,33,784.254045
2.19761,43,785.045894
1.761353,39,785.871453
20.548529,58,786.799732
2.132033,41,787.635113
8.361325,52,788.550266
2.142424,42,789.387679
3.193824,48,790.231413
2.608666,39,791.021801
2.613879,39,791.818447
2.616171,43,792.587975
0.63431,34,793.389488
2.501667,42,794.228277
1.655376,39,794.980086
6.036662,51,795.858448
19.701745,58,796.804053
56.242695,74,797.782058
8.119177,50,798.650581
1.361635,40,799.494686
30.698108,67,800.505407
3.726447,43,801.403138
11.44167,61,802.320504
12.315541,58,803.182636
1.044469,35,803.99631
1.917023,44,804.901013
17.272359,62,805.84873
113.958287,88,806.876579
5.516545,50,807.676022
2.07096,43,808.497429
42.613966,68,809.413816
40.058086,71,810.299834
0.476445,32,810.982691
2.412921,42,811.750354
1.992386,44,812.526168
1.943542,40,813.271297
0.091704,26,813.923186
13.683516,58,814.748299
20.610849,61,815.575921
4.414816,46,816.341492
11.694844,60,817.188313
4.973595,50,818.003024
9.368423,58,818.860739
1.44704,38,819.616237
5.481836,52,820.432694
