#{"t_start": 1645389438.6261501, "env_id": null}
r,l,t
14.624286,58,403.850657
310.856384,99,404.523456
6.954859,53,405.219512
80.435595,98,405.88964
329.973713,263,407.632304
2.161706,63,408.992624
2.020271,54,409.539497
0.854794,46,410.047811
2.047253,53,411.140547
1.356397,51,411.656171
60.328381,120,412.390545
2.58385,48,413.148883
22.553822,85,414.267222
4.771264,62,414.923472
1.03572,43,415.447374
2.764083,47,415.916123
1.140937,39,416.815146
12.584807,73,417.351914
16.313564,63,417.970174
68.366078,116,418.720174
6.663657,48,419.971893
1.676708,41,420.448382
34.858486,74,420.941115
1.780903,40,421.527917
153.008023,144,422.818012
20.356313,65,423.701297
4.732028,55,424.257041
16.336861,62,424.796574
23.907364,70,425.824578
12.085782,55,426.426782
23.511072,63,426.973689
0.953284,36,427.481987
9.756701,56,428.325707
0.746426,36,428.787243
110.494914,90,429.342335
32.844022,65,430.029867
8.113572,49,431.013171
5.633552,50,431.505718
2.470857,42,431.974505
3.64894,42,432.412004
1.299709,42,433.295294
8.935864,58,433.779667
3.19421,46,434.303584
1.013143,37,434.741056
3.08617,46,435.600339
333.017303,107,436.235106
87.369611,85,437.103401
31.438859,63,437.775277
372.559075,360,439.730054
8.352734,67,441.491753
8.202751,57,442.085469
3.976452,64,442.687593
5.132015,57,443.899581
63.871619,128,444.680835
10.364047,61,445.517409
195.936205,129,446.283032
2.52174,44,447.650771
4.998693,57,448.15914
142.752546,112,448.846642
2.523352,49,449.589347
11.012191,72,450.6133
0.322665,35,451.160174
1.886565,46,451.597675
3.915268,53,452.106098
59.231302,93,453.199849
19.238792,70,453.911285
12.722995,64,454.536284
12.863914,70,455.154124
2.921243,52,456.287527
31.036588,76,456.881278
18.994579,72,457.546457
1.056088,40,458.077706
1.668292,44,458.92972
29.01494,74,459.49222
1.733305,44,460.070346
3.143293,43,460.514462
9.05448,57,461.405087
4.088766,50,461.913875
19.595623,71,462.476375
118.154024,91,463.172184
43.220962,89,464.352852
0.719609,36,464.977852
59.816707,84,465.515491
24.403369,70,466.21129
0.591652,36,467.148106
1.783121,39,467.569983
2.296686,40,467.991858
0.742486,37,468.406463
1.03505,37,469.218961
2.07057,41,469.640848
1.331131,41,470.055266
1.266626,39,470.49275
1.446455,39,471.344786
1.867982,39,471.818297
0.812782,35,472.253609
1.341787,38,472.66928
16.423881,66,473.591147
13.424708,56,474.178126
1.211107,40,474.662501
2.181022,40,475.084378
10.677914,52,475.977968
17.068722,58,476.518071
63.557984,89,477.167701
1.415392,40,477.792699
1.252821,40,478.645185
1.903132,41,479.082683
18.287104,59,479.575865
49.625631,67,480.18524
2.005033,40,481.131658
1.517232,44,481.569158
28.627691,72,482.124835
3.803481,41,482.67171
1.707677,37,483.508149
21.605519,69,484.023803
1.218256,40,484.586274
0.919347,37,485.016942
5.52132,50,485.873993
2.467458,43,486.351053
31.711538,66,486.890483
0.45884,37,487.407035
1.514912,41,488.235164
24.690154,64,488.735164
1.036503,37,489.236217
11.428151,66,489.751842
123.130783,95,490.869586
2.602335,41,491.534119
0.723138,40,491.971621
112.578988,82,492.526869
6.835994,51,493.581886
22.023939,67,494.160012
25.24508,61,494.762037
1.998897,43,495.293284
116.923247,81,496.286
4.584613,48,496.895348
0.020616,2002,502.075425
0.122489,36,510.0532
0.157248,45,511.077173
20.695383,98,511.733418
383.21075,197,512.874046
123.466082,99,514.108417
19.546012,74,515.484213
103.674232,120,516.304959
1250.717737,566,518.672591
2.719253,49,521.290219
3.635862,66,522.383937
113.565516,160,523.321465
165.296848,220,524.83024
122.625817,225,526.58079
295.604965,126,528.67606
345.106876,116,529.700468
2.957778,46,530.434874
125.507845,98,531.075004
57.264488,90,532.404929
22.327102,77,533.163178
22.939461,80,533.868172
1.667364,50,534.493149
895.452329,306,536.27897
114.461974,108,537.937511
4.450206,60,538.687484
0.417539,33,539.171859
9.432974,80,540.093734
143.570209,159,541.014321
384.183745,177,542.295571
24.446594,74,543.366293
12.180088,109,544.663198
96.289913,92,545.499628
8.57171,70,546.233973
17.821148,76,546.890222
1.090544,46,547.992378
251.578939,218,549.016845
198.213655,105,550.306373
28.530862,96,551.16575
15.931747,116,552.564654
1.544451,51,553.338479
3.303042,57,553.885354
36.856778,109,554.596759
12.83734,82,556.065436
31.961555,110,556.870562
257.45846,132,557.839281
81.722758,118,558.897299
61.137721,86,560.323846
10.702441,52,560.988959
6.350417,46,561.493358
1.284903,38,561.946483
17.010115,66,562.971028
36.332566,76,563.627278
201.688057,128,564.479904
179.116336,102,565.449437
22.678654,64,566.700932
7.350735,49,567.263433
18.813472,65,567.803551
89.79898,85,568.491051
222.410262,85,569.718762
61.125373,88,570.481096
3.933309,54,571.14566
2.113458,43,571.64566
126.535596,103,572.779572
13.602971,59,573.522422
4.205205,50,574.038049
10.113551,56,574.577521
180.2755,87,575.700297
32.439377,76,576.427439
150.930069,98,577.177438
10.508601,59,577.9045
26.738976,74,579.030249
265.296908,97,579.764618
14.337323,65,580.497788
25.189008,71,581.138414
12.152183,56,582.240979
14.307419,59,582.812439
47.793602,72,583.414967
79.938928,81,584.126423
8.322058,50,585.282678
140.188644,88,585.827796
3.587059,49,586.484043
21.83991,70,587.024142
204.27379,101,588.267321
13.896469,60,589.001699
44.069436,80,589.634614
5.095721,58,590.290894
22.995662,65,591.366048
11.290863,68,592.006674
5.051264,46,592.561803
33.585543,67,593.094532
22.496392,63,594.20597
36.643381,70,594.81534
7.879241,48,595.38952
20.621982,65,595.920772
6.638419,58,597.023422
7.904342,56,597.585922
6.885318,52,598.109605
226.914715,100,598.774184
216.444351,101,600.110626
193.84281,97,600.945733
6.48056,51,601.664483
32.649153,64,602.219803
40.661029,73,603.3537
98.015377,78,604.056825
36.012873,75,604.75326
14.084302,56,605.393885
40.268083,69,606.512112
24.284706,70,607.161123
53.333163,70,607.779561
46.636914,71,608.435811
21.980102,64,609.569551
24.624366,69,610.187838
33.039962,71,610.847459
2.704714,44,611.418222
13.950184,57,612.426406
8.308293,59,612.981575
2.556522,48,613.528447
32.828648,65,614.075327
17.544109,63,615.192883
63.195857,76,615.81058
24.921039,67,616.482463
34.828065,74,617.162705
50.206059,78,618.367286
761.023898,126,619.148547
14.502964,54,619.969373
32.295544,68,620.557213
217.702454,109,621.81544
6.169959,51,622.573812
10.757647,77,623.151938
4.908423,51,623.770287
173.636432,90,624.926537
31.358792,73,625.669789
9.899866,55,626.279161
15.358589,60,626.850473
5.448386,52,627.929533
373.175839,141,628.710782
9.163255,66,629.609739
31.491132,68,630.250363
294.469389,110,631.476008
101.706858,85,632.327926
7.659805,52,632.976743
11.816866,57,633.500695
16.403005,63,634.587116
9.799334,59,635.165239
4.731508,52,635.712114
93.324958,90,636.360982
0.00173,2002,642.056648
6.459833,54,650.12247
25.32138,75,650.725087
151.935429,118,651.54829
239.170208,113,653.02533
6.102485,57,653.783652
265.571627,134,654.580529
233.971346,133,655.654882
947.634163,172,657.375032
224.325209,102,658.500034
42.488622,75,659.258483
41.219547,71,659.946533
737.483052,179,661.432754
894.553644,211,662.903343
304.37638,179,664.427825
50.690173,99,665.577414
33.85405,89,666.938871
8.642929,59,667.63461
49.176868,81,668.252672
521.453481,212,669.424552
805.540747,175,671.504151
496.580284,191,672.934366
4.447351,59,674.020821
57.120576,78,674.645824
28.592556,71,675.826
62.150914,92,676.521802
102.801566,99,677.334306
168.827791,124,678.264608
12.847887,67,679.61673
10.873097,62,680.226111
325.950502,139,681.038636
1088.628737,184,682.297462
108.603399,113,684.102777
19.645855,73,684.93917
61.705894,90,685.657884
138.999599,132,686.603751
21.695284,69,688.034062
522.905864,166,688.949216
201.163457,125,690.113821
209.98592,146,691.207546
27.622872,71,692.763283
25.640519,66,693.397092
135.957934,105,694.115872
13.536936,61,694.827254
2148.166288,182,696.295222
4.434842,66,697.366117
17.397308,64,697.959868
161.411929,161,698.890191
30.00334,88,700.492355
128.331847,79,701.23506
9.490923,57,701.875712
72.349951,92,702.555899
89.846768,96,703.907926
568.165911,127,704.798512
0.06015,36,705.556772
1994.201238,272,706.674446
50.533741,80,708.698393
189.227322,132,709.56608
1026.455918,188,710.847314
629.68171,162,712.199834
2086.187749,279,714.374846
334.545724,179,716.183127
322.726084,137,717.448752
3.227969,55,718.292503
3.760822,55,719.363179
129.306666,120,720.074646
28.269883,89,720.973527
1468.18832,167,721.99743
114.686734,130,723.740157
512.686822,190,724.982655
461.800762,156,726.382231
12.508038,83,727.415089
352.79559,138,728.908417
2870.85346,331,730.623904
59.26956,82,732.30412
170.568754,154,733.281712
1612.193206,295,735.453079
