#{"t_start": 1645384261.9910586, "env_id": null}
r,l,t
0.080276,2002,4464.907209
0.0274,2002,4482.295285
0.004279,2002,4508.799795
0.113968,2002,4525.490738
0.0,2002,4542.274782
0.0,2002,4558.531153
0.0,2002,4583.48693
0.005495,2002,4600.443466
0.002127,2002,4617.383496
0.005465,2002,4634.4144
0.005153,2002,4660.654883
